,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
136,World Rapid 2021,Warsaw POL,2021.12.26,5.14,"Firouzja,Alireza","Nihal,Sarin",1-0,2662,E06,2804
137,World Rapid 2021,Warsaw POL,2021.12.27,6.7,"Firouzja,Alireza","Gareev,T",1-0,2573,E33,2804
138,World Rapid 2021,Warsaw POL,2021.12.27,7.1,"Carlsen,M","Firouzja,Alireza",1-0,2804,B12,2856
139,World Rapid 2021,Warsaw POL,2021.12.27,8.11,"Van Foreest,Jorden","Firouzja,Alireza",1/2-1/2,2804,C50,2702
140,World Rapid 2021,Warsaw POL,2021.12.27,9.12,"Firouzja,Alireza","Shevchenko,Kirill",1-0,2655,E98,2804
141,World Rapid 2021,Warsaw POL,2021.12.28,10.3,"Firouzja,Alireza","Nakamura,Hi",1/2-1/2,2736,C53,2804
142,World Rapid 2021,Warsaw POL,2021.12.28,11.8,"Cheparinov,I","Firouzja,Alireza",1/2-1/2,2804,E94,2664
143,World Rapid 2021,Warsaw POL,2021.12.28,12.7,"Firouzja,Alireza","Dubov,Daniil",1/2-1/2,2720,B60,2804
144,World Rapid 2021,Warsaw POL,2021.12.28,13.6,"Karjakin,Sergey","Firouzja,Alireza",1-0,2804,E92,2743
145,World Blitz 2021,Warsaw POL,2021.12.29,1.4,"Firouzja,Alireza","Gareev,T",0-1,2573,A45,2804
146,World Blitz 2021,Warsaw POL,2021.12.29,2.57,"Bellahcene,B","Firouzja,Alireza",1/2-1/2,2804,B41,2512
147,World Blitz 2021,Warsaw POL,2021.12.29,3.65,"Firouzja,Alireza","Czarnota,P",1/2-1/2,2502,A01,2804
148,World Blitz 2021,Warsaw POL,2021.12.29,4.59,"Kantor,G","Firouzja,Alireza",0-1,2804,E71,2575
149,World Blitz 2021,Warsaw POL,2021.12.29,5.38,"Firouzja,Alireza","Theodorou,Nikolas",1-0,2577,C60,2804
150,World Blitz 2021,Warsaw POL,2021.12.29,6.23,"Indjic,A","Firouzja,Alireza",1-0,2804,E97,2623
