,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
31,0.0,20.0,14.0,0.0,0.0,10.0,41.0,27.0,40.0,39.0,34.0,0.0,0.0,115.0,29.0,60.0,31.0,12.0,79.0,74.0,0.0,18.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.0,36.0,22.0,31.0,5.0,6.0,0.0,0.0,0.0,15.0,0.0,16.0,0.0,10.0,0.0,26.0,0.0,25.0,20.0,0.0,17.0,0.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,18.0,0.0,40.0,43.0,10.0,6.0,0.0,31.0,0.0,7.0,4.0,18.0,4.0,10.0,54.0,0.0,13.0,7.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,15.0,0.0,0.0,8.0,7.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,68.0,5.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,19.0,0.0,23.0,10.0,0.0,10.0,36.0,22.0,6.0,38.0,5.0,0.0,24.0,0.0,9.0,1.0,7.0,3.0,29.0,12.0,0.0,4.0,3.0,29.0,0.0,47.0,6.0,0.0,20.0,24.0,4.0,25.0,2.0,0.0,127.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,26.0,25.0,54.0,0.0,44.0,0.0,24.0,0.0,8.0,0.0,3.0,53.0,94.0,51.0,64.0,25.0,41.0,41.0,139.0,116.0,116.0,0.0,24.0,23.0,255.0,14.0,361.0,394.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,13.0,0.0,26.0,8.0,0.0,9.0,2.0,16.0,22.0,0.0,27.0,0.0,0.0,44.0,63.0,19.0,19.0,50.0,6.0,89.0,87.0,0.0,55.0,2.0,11.0,26.0,58.0,67.0,93.0,65.0,12.0,132.0,68.0,18.0,59.0,48.0,238.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,33.0,57.0,11.0,0.0,0.0,4.0,0.0,37.0,12.0,13.0,1.0,4.0,5.0,4.0,9.0,6.0,11.0,0.0,21.0,82.0,26.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12.0,23.0,0.0,10.0,0.0,5.0,8.0,0.0,26.0,19.0,45.0,17.0,20.0,49.0,46.0,29.0,3.0,8.0,22.0,32.0,18.0,0.0,233.0,61.0,20.0,46.0,233.0,39.0,17.0,12.0,16.0,12.0,9.0,138.0,51.0,143.0,4.0,58.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,31.0,40.0,1.0,0.0,0.0,36.0,0.0,15.0,16.0,10.0,13.0,18.0,25.0,26.0,118.0,26.0,21.0,36.0,33.0,8.0,21.0,16.0,0.0,7.0,102.0,13.0,17.0,16.0,10.0,49.0,10.0,0.0,6.0,11.0,0.0,33.0,0.0,0.0,28.0,0.0,0.0,21.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6.0,6.0,14.0,0.0,0.0,15.0,7.0,3.0,8.0,56.0,6.0,13.0,0.0,13.0,2.0,22.0,23.0,6.0,0.0,1.0,28.0,44.0,2.0,22.0,12.0,18.0,18.0,1.0,8.0,4.0,18.0,7.0,0.0,9.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
