,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
32,45.0,58.0,0.0,2.0,8.0,0.0,25.0,5.0,12.0,0.0,26.0,6.0,33.0,0.0,9.0,13.0,4.0,0.0,2.0,1.0,0.0,4.0,2.0,17.0,0.0,13.0,67.0,18.0,0.0,3.0,0.0,9.0,119.0,27.0,23.0,5.0,46.0,18.0,97.0,67.0,82.0,54.0,19.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15.0,8.0,22.0,26.0,29.0,18.0,7.0,1.0,33.0,10.0,19.0,12.0,13.0,0.0,5.0,5.0,22.0,74.0,17.0,15.0,0.0,19.0,7.0,21.0,17.0,0.0,0.0,4.0,10.0,8.0,9.0,5.0,22.0,5.0,9.0,1.0,1.0,18.0,23.0,8.0,30.0,0.0,7.0,8.0,1.0,8.0,2.0,0.0,0.0,6.0,4.0,11.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11.0,19.0,1.0,1.0,0.0,4.0,0.0,23.0,32.0,9.0,37.0,15.0,18.0,57.0,26.0,22.0,10.0,0.0,64.0,11.0,29.0,3.0,0.0,20.0,35.0,0.0,37.0,0.0,20.0,38.0,0.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7.0,32.0,14.0,0.0,22.0,18.0,3.0,6.0,34.0,6.0,10.0,56.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,15.0,0.0,9.0,14.0,4.0,0.0,6.0,19.0,23.0,0.0,43.0,0.0,0.0,14.0,11.0,0.0,16.0,86.0,42.0,77.0,4.0,0.0,86.0,179.0,36.0,252.0,210.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,25.0,13.0,12.0,0.0,0.0,22.0,19.0,3.0,32.0,66.0,23.0,59.0,0.0,3.0,0.0,18.0,102.0,85.0,0.0,65.0,0.0,53.0,31.0,34.0,339.0,192.0,127.0,10.0,22.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12.0,16.0,25.0,11.0,1.0,32.0,9.0,61.0,0.0,24.0,24.0,13.0,0.0,46.0,19.0,72.0,91.0,0.0,77.0,9.0,0.0,7.0,10.0,10.0,62.0,18.0,48.0,6.0,12.0,8.0,0.0,0.0,0.0,80.0,0.0,77.0,0.0,87.0,119.0,757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6.0,13.0,19.0,12.0,42.0,21.0,37.0,18.0,39.0,6.0,0.0,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8.0,40.0,1.0,14.0,0.0,21.0,11.0,15.0,52.0,17.0,15.0,14.0,0.0,9.0,31.0,23.0,0.0,0.0,10.0,73.0,24.0,20.0,28.0,1.0,44.0,6.0,7.0,0.0,0.0,0.0,2.0,34.0,799.0,61.0,27.0,51.0,129.0,29.0,8.0,47.0,46.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,21.0,27.0,10.0,0.0,35.0,8.0,27.0,10.0,2.0,14.0,16.0,18.0,28.0,31.0,3.0,13.0,53.0,14.0,16.0,2.0,19.0,45.0,43.0,24.0,2.0,9.0,0.0,0.0,97.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
