,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
39,9.0,18.0,38.0,43.0,19.0,31.0,4.0,3.0,0.0,0.0,38.0,0.0,0.0,6.0,11.0,0.0,4.0,12.0,4.0,50.0,0.0,10.0,20.0,15.0,0.0,132.0,70.0,0.0,37.0,0.0,3.0,183.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,37.0,11.0,7.0,21.0,24.0,22.0,24.0,14.0,30.0,0.0,8.0,6.0,0.0,5.0,11.0,0.0,32.0,30.0,0.0,17.0,0.0,7.0,30.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,17.0,22.0,3.0,0.0,21.0,20.0,1.0,0.0,2.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,36.0,28.0,0.0,46.0,3.0,3.0,9.0,9.0,6.0,0.0,18.0,8.0,0.0,0.0,8.0,1.0,27.0,3.0,14.0,21.0,32.0,42.0,5.0,0.0,20.0,0.0,2.0,0.0,33.0,0.0,0.0,144.0,123.0,17.0,0.0,0.0,83.0,0.0,20.0,37.0,21.0,42.0,0.0,5.0,0.0,0.0,2.0,0.0,20.0,0.0,9.0,2.0,16.0,1.0,0.0,29.0,36.0,0.0,8.0,221.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
42,17.0,6.0,9.0,3.0,69.0,15.0,3.0,19.0,43.0,15.0,9.0,8.0,0.0,0.0,4.0,9.0,28.0,31.0,0.0,0.0,10.0,2.0,49.0,3.0,204.0,0.0,19.0,27.0,53.0,3.0,15.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,41.0,22.0,31.0,3.0,0.0,5.0,0.0,0.0,10.0,3.0,0.0,7.0,20.0,2.0,5.0,11.0,7.0,36.0,49.0,12.0,28.0,0.0,0.0,19.0,21.0,0.0,29.0,80.0,24.0,32.0,53.0,36.0,0.0,0.0,36.0,2.0,11.0,69.0,13.0,0.0,12.0,0.0,0.0,0.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,7.0,11.0,23.0,0.0,27.0,29.0,3.0,46.0,1.0,0.0,0.0,14.0,19.0,12.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,5.0,10.0,25.0,2.0,0.0,39.0,7.0,38.0,0.0,16.0,8.0,0.0,39.0,0.0,0.0,1.0,0.0,53.0,17.0,0.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,40.0,0.0,0.0,74.0,46.0,136.0,,,,,,,,,,,
45,28.0,32.0,11.0,13.0,10.0,16.0,17.0,40.0,5.0,29.0,18.0,5.0,76.0,8.0,67.0,48.0,34.0,11.0,15.0,2.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,29.0,6.0,6.0,26.0,5.0,0.0,10.0,0.0,13.0,1.0,0.0,8.0,10.0,0.0,0.0,13.0,15.0,84.0,17.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,16.0,1.0,12.0,8.0,17.0,14.0,9.0,10.0,34.0,15.0,0.0,17.0,0.0,18.0,33.0,7.0,0.0,3.0,76.0,0.0,2.0,7.0,0.0,5.0,17.0,20.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,25.0,10.0,7.0,20.0,46.0,9.0,36.0,32.0,32.0,21.0,5.0,41.0,30.0,117.0,4.0,97.0,46.0,81.0,258.0,67.0,15.0,5.0,29.0,55.0,0.0,0.0,41.0,0.0,2.0,64.0,155.0,112.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,58.0,6.0,6.0,14.0,198.0,0.0,8.0,91.0,0.0,29.0,29.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
49,0.0,14.0,8.0,31.0,10.0,27.0,11.0,6.0,7.0,0.0,8.0,16.0,15.0,8.0,39.0,28.0,5.0,12.0,0.0,10.0,16.0,0.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,22.0,5.0,58.0,0.0,0.0,28.0,12.0,23.0,38.0,0.0,20.0,25.0,5.0,14.0,5.0,30.0,3.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,24.0,35.0,25.0,14.0,60.0,9.0,23.0,117.0,0.0,61.0,15.0,0.0,5.0,38.0,9.0,15.0,10.0,0.0,0.0,18.0,9.0,0.0,57.0,12.0,6.0,33.0,32.0,60.0,0.0,255.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,31.0,5.0,20.0,12.0,2.0,11.0,21.0,5.0,41.0,38.0,12.0,55.0,25.0,40.0,126.0,0.0,31.0,1.0,30.0,0.0,101.0,22.0,61.0,220.0,98.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0,14.0,2.0,1.0,2.0,0.0,6.0,14.0,16.0,0.0,79.0,11.0,21.0,12.0,59.0,17.0,0.0,23.0,8.0,95.0,72.0,0.0,79.0,66.0,29.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,14.0,14.0,13.0,0.0,8.0,9.0,6.0,1.0,40.0,8.0,37.0,0.0,148.0,0.0,15.0,0.0,64.0,0.0,0.0,5.0,32.0,42.0,0.0,96.0,10.0,0.0,80.0,34.0,83.0,121.0,39.0,0.0,4.0,36.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9.0,25.0,25.0,7.0,8.0,7.0,11.0,29.0,12.0,16.0,6.0,5.0,4.0,7.0,47.0,0.0,0.0,0.0,18.0,23.0,10.0,53.0,0.0,27.0,27.0,56.0,38.0,0.0,86.0,90.0,49.0,10.0,152.0,39.0,0.0,185.0,0.0,0.0,0.0,52.0,18.0,201.0,4.0,64.0,28.0,44.0,0.0,0.0,28.0,0.0,0.0,61.0,281.0,188.0,99.0,,,,,,,,,,,,,,,,,,,,
56,9.0,3.0,0.0,11.0,0.0,9.0,16.0,8.0,12.0,1.0,0.0,0.0,12.0,0.0,31.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,34.0,18.0,2.0,18.0,10.0,7.0,7.0,4.0,34.0,18.0,17.0,66.0,14.0,3.0,27.0,0.0,10.0,13.0,0.0,9.0,22.0,9.0,11.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.0,4.0,18.0,18.0,15.0,14.0,13.0,40.0,6.0,29.0,6.0,0.0,28.0,31.0,3.0,0.0,17.0,36.0,25.0,0.0,21.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,11.0,51.0,31.0,13.0,20.0,13.0,4.0,18.0,17.0,18.0,39.0,37.0,14.0,15.0,0.0,11.0,0.0,11.0,69.0,60.0,29.0,69.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
