,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
34,16.0,28.0,16.0,4.0,13.0,0.0,0.0,2.0,3.0,11.0,9.0,27.0,0.0,4.0,28.0,0.0,1.0,9.0,37.0,0.0,30.0,16.0,0.0,7.0,13.0,42.0,8.0,149.0,151.0,41.0,0.0,585.0,29.0,228.0,39.0,0.0,11.0,72.0,280.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,69.0,3.0,11.0,22.0,36.0,23.0,37.0,23.0,0.0,6.0,10.0,15.0,6.0,40.0,33.0,36.0,0.0,24.0,14.0,29.0,6.0,18.0,18.0,74.0,7.0,1.0,35.0,34.0,162.0,0.0,43.0,15.0,15.0,11.0,17.0,48.0,52.0,2.0,60.0,16.0,14.0,0.0,138.0,0.0,39.0,0.0,0.0,4.0,43.0,0.0,0.0,0.0,70.0,27.0,0.0,65.0,0.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.0,20.0,0.0,36.0,46.0,12.0,1.0,47.0,10.0,0.0,14.0,8.0,12.0,0.0,35.0,9.0,9.0,27.0,29.0,43.0,32.0,9.0,8.0,0.0,14.0,31.0,13.0,27.0,78.0,14.0,0.0,62.0,46.0,5.0,0.0,33.0,7.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9.0,23.0,21.0,14.0,35.0,6.0,0.0,19.0,31.0,0.0,15.0,25.0,0.0,5.0,78.0,37.0,0.0,70.0,16.0,37.0,6.0,17.0,22.0,3.0,0.0,22.0,12.0,0.0,17.0,64.0,0.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,15.0,25.0,12.0,5.0,10.0,5.0,0.0,0.0,12.0,0.0,13.0,36.0,26.0,20.0,15.0,0.0,52.0,71.0,77.0,0.0,0.0,31.0,0.0,14.0,11.0,30.0,0.0,0.0,8.0,62.0,84.0,62.0,3.0,11.0,0.0,0.0,4.0,10.0,8.0,3.0,16.0,52.0,39.0,0.0,29.0,12.0,61.0,29.0,3.0,154.0,188.0,10.0,433.0,197.0,227.0,139.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6.0,41.0,0.0,7.0,38.0,1.0,13.0,10.0,0.0,17.0,16.0,9.0,31.0,4.0,1.0,47.0,8.0,2.0,29.0,0.0,13.0,0.0,17.0,0.0,0.0,135.0,0.0,185.0,0.0,123.0,0.0,39.0,15.0,28.0,0.0,113.0,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,24.0,23.0,31.0,13.0,0.0,18.0,37.0,34.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11.0,30.0,40.0,62.0,13.0,24.0,16.0,0.0,3.0,35.0,2.0,19.0,18.0,15.0,53.0,2.0,23.0,26.0,57.0,0.0,16.0,38.0,0.0,8.0,14.0,8.0,18.0,64.0,7.0,23.0,20.0,5.0,0.0,0.0,0.0,35.0,2.0,3.0,0.0,52.0,0.0,0.0,18.0,0.0,18.0,19.0,7.0,16.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,30.0,7.0,15.0,35.0,32.0,18.0,12.0,8.0,15.0,47.0,21.0,66.0,45.0,0.0,0.0,9.0,18.0,0.0,15.0,79.0,19.0,0.0,0.0,20.0,21.0,9.0,6.0,26.0,21.0,0.0,0.0,22.0,114.0,0.0,81.0,10.0,7.0,0.0,39.0,19.0,26.0,0.0,13.0,0.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,27.0,29.0,4.0,0.0,0.0,0.0,0.0,11.0,9.0,38.0,21.0,56.0,75.0,107.0,0.0,48.0,0.0,142.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,21.0,3.0,5.0,6.0,45.0,13.0,15.0,38.0,9.0,42.0,30.0,0.0,43.0,17.0,0.0,1.0,69.0,24.0,74.0,42.0,34.0,12.0,11.0,48.0,10.0,0.0,0.0,1.0,4.0,3.0,0.0,5.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,18.0,7.0,25.0,3.0,9.0,14.0,4.0,0.0,7.0,14.0,0.0,33.0,24.0,14.0,0.0,0.0,92.0,128.0,0.0,3.0,19.0,16.0,7.0,0.0,46.0,102.0,0.0,58.0,36.0,41.0,95.0,0.0,0.0,10.0,0.0,18.0,0.0,0.0,9.0,7.0,36.0,26.0,22.0,12.0,0.0,6.0,0.0,0.0,0.0,230.0,8.0,7.0,20.0,0.0,21.0,31.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,34.0,0.0,0.0,11.0,3.0,23.0,0.0,1.0,10.0,9.0,11.0,12.0,5.0,11.0,0.0,5.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0,16.0,4.0,10.0,25.0,7.0,0.0,3.0,8.0,51.0,14.0,16.0,13.0,36.0,58.0,5.0,14.0,0.0,22.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,16.0,20.0,13.0,0.0,13.0,0.0,10.0,31.0,1.0,33.0,0.0,71.0,8.0,0.0,8.0,49.0,0.0,14.0,0.0,17.0,48.0,16.0,89.0,151.0,15.0,89.0,9.0,39.0,48.0,0.0,333.0,0.0,0.0,394.0,36.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,28.0,0.0,11.0,32.0,2.0,0.0,19.0,0.0,10.0,17.0,6.0,2.0,0.0,42.0,3.0,15.0,1.0,12.0,9.0,51.0,59.0,0.0,0.0,0.0,0.0,104.0,36.0,0.0,205.0,32.0,0.0,94.0,125.0,93.0,13.0,68.0,74.0,83.0,56.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0,16.0,25.0,55.0,0.0,0.0,20.0,4.0,14.0,14.0,21.0,0.0,34.0,0.0,54.0,45.0,0.0,0.0,0.0,110.0,293.0,238.0,0.0,36.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,16.0,2.0,0.0,11.0,0.0,0.0,9.0,31.0,13.0,24.0,0.0,3.0,46.0,45.0,23.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,7.0,14.0,5.0,5.0,21.0,29.0,2.0,0.0,7.0,52.0,40.0,6.0,57.0,46.0,4.0,0.0,78.0,0.0,0.0,0.0,7.0,7.0,11.0,3.0,0.0,0.0,14.0,0.0,1.0,20.0,6.0,1.0,8.0,1.0,0.0,0.0,0.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0,0.0,7.0,10.0,23.0,11.0,30.0,31.0,9.0,0.0,1.0,5.0,39.0,0.0,8.0,5.0,60.0,73.0,0.0,9.0,0.0,8.0,49.0,8.0,47.0,0.0,0.0,42.0,47.0,0.0,0.0,1.0,0.0,7.0,8.0,3.0,9.0,9.0,5.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,2.0,2.0,3.0,2.0,21.0,0.0,1.0,12.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,7.0,17.0,22.0,21.0,6.0,0.0,0.0,16.0,7.0,3.0,9.0,6.0,0.0,0.0,5.0,21.0,25.0,33.0,134.0,0.0,0.0,170.0,1.0,0.0,0.0,66.0,47.0,0.0,17.0,140.0,59.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
