,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
34,40.0,17.0,0.0,4.0,38.0,18.0,68.0,43.0,26.0,27.0,5.0,8.0,45.0,109.0,0.0,68.0,0.0,30.0,4.0,60.0,19.0,27.0,0.0,157.0,93.0,0.0,54.0,40.0,33.0,31.0,0.0,111.0,23.0,35.0,34.0,273.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,11.0,18.0,24.0,25.0,20.0,12.0,0.0,11.0,0.0,13.0,8.0,38.0,17.0,0.0,33.0,10.0,26.0,3.0,3.0,48.0,37.0,72.0,1.0,9.0,0.0,5.0,5.0,13.0,24.0,0.0,0.0,33.0,42.0,0.0,199.0,21.0,43.0,10.0,0.0,0.0,167.0,44.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,33.0,15.0,38.0,31.0,29.0,21.0,0.0,4.0,2.0,42.0,16.0,15.0,16.0,15.0,8.0,7.0,11.0,0.0,35.0,0.0,26.0,14.0,7.0,82.0,57.0,0.0,0.0,0.0,0.0,0.0,22.0,60.0,11.0,50.0,0.0,0.0,0.0,0.0,0.0,66.0,54.0,80.0,26.0,88.0,104.0,0.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6.0,11.0,26.0,8.0,36.0,9.0,12.0,11.0,23.0,0.0,13.0,30.0,25.0,1.0,0.0,43.0,121.0,56.0,7.0,6.0,51.0,0.0,17.0,0.0,95.0,0.0,0.0,0.0,12.0,36.0,0.0,1.0,0.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,8.0,34.0,9.0,6.0,0.0,11.0,8.0,14.0,0.0,9.0,0.0,76.0,25.0,22.0,0.0,11.0,62.0,84.0,0.0,0.0,44.0,5.0,32.0,23.0,11.0,0.0,1.0,26.0,0.0,1.0,29.0,0.0,9.0,66.0,0.0,3.0,0.0,31.0,0.0,89.0,19.0,19.0,42.0,15.0,182.0,45.0,0.0,0.0,33.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4.0,20.0,14.0,0.0,42.0,24.0,127.0,24.0,49.0,76.0,0.0,23.0,16.0,21.0,81.0,66.0,26.0,14.0,12.0,7.0,8.0,176.0,25.0,63.0,39.0,165.0,41.0,23.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10.0,3.0,0.0,0.0,0.0,23.0,13.0,26.0,36.0,4.0,14.0,18.0,2.0,0.0,0.0,0.0,66.0,0.0,33.0,33.0,37.0,71.0,29.0,31.0,0.0,0.0,0.0,8.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,17.0,22.0,11.0,24.0,0.0,26.0,6.0,0.0,5.0,0.0,28.0,11.0,34.0,4.0,6.0,0.0,47.0,18.0,46.0,21.0,0.0,7.0,8.0,1.0,23.0,0.0,6.0,31.0,51.0,96.0,3.0,37.0,87.0,81.0,10.0,0.0,0.0,22.0,10.0,10.0,256.0,69.0,117.0,15.0,0.0,0.0,18.0,0.0,0.0,4.0,12.0,0.0,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15.0,22.0,12.0,25.0,3.0,0.0,5.0,7.0,17.0,67.0,6.0,38.0,54.0,0.0,0.0,43.0,3.0,0.0,1.0,0.0,44.0,105.0,24.0,26.0,19.0,0.0,54.0,0.0,64.0,54.0,14.0,123.0,0.0,318.0,21.0,237.0,19.0,23.0,0.0,0.0,417.0,97.0,13.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,14.0,10.0,13.0,6.0,4.0,6.0,3.0,0.0,7.0,12.0,18.0,5.0,0.0,15.0,6.0,6.0,33.0,25.0,17.0,66.0,50.0,0.0,18.0,0.0,74.0,45.0,34.0,45.0,6.0,0.0,3.0,47.0,83.0,3.0,18.0,19.0,34.0,36.0,113.0,2.0,0.0,0.0,79.0,216.0,2.0,16.0,0.0,28.0,0.0,38.0,21.0,38.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,133.0,180.0,51.0,0.0,48.0,5.0,11.0,32.0,37.0,1.0,5.0,82.0,0.0,89.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,39.0,55.0,3.0,0.0,0.0,0.0,0.0,301.0,,,,,,
