,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
38,4.0,69.0,24.0,0.0,66.0,43.0,49.0,9.0,28.0,47.0,58.0,134.0,21.0,161.0,23.0,15.0,0.0,0.0,94.0,10.0,0.0,37.0,59.0,61.0,0.0,56.0,11.0,0.0,0.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,18.0,11.0,18.0,1.0,4.0,27.0,31.0,7.0,37.0,12.0,73.0,206.0,114.0,58.0,37.0,16.0,200.0,40.0,576.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,31.0,10.0,40.0,8.0,25.0,7.0,0.0,26.0,20.0,5.0,9.0,0.0,6.0,35.0,0.0,26.0,15.0,57.0,16.0,30.0,18.0,0.0,36.0,0.0,29.0,15.0,70.0,58.0,66.0,90.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5.0,10.0,19.0,32.0,0.0,54.0,3.0,21.0,0.0,54.0,105.0,0.0,65.0,260.0,0.0,166.0,44.0,63.0,0.0,94.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,58.0,28.0,0.0,14.0,8.0,21.0,1.0,7.0,30.0,27.0,19.0,25.0,11.0,33.0,147.0,12.0,88.0,83.0,87.0,515.0,576.0,601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,0.0,23.0,2.0,14.0,28.0,22.0,18.0,60.0,58.0,6.0,0.0,14.0,10.0,3.0,0.0,0.0,4.0,0.0,43.0,34.0,41.0,0.0,20.0,27.0,9.0,68.0,47.0,16.0,0.0,93.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,75.0,7.0,0.0,1.0,48.0,10.0,27.0,0.0,7.0,31.0,17.0,4.0,67.0,0.0,26.0,33.0,0.0,0.0,0.0,31.0,18.0,6.0,7.0,0.0,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,31.0,71.0,0.0,0.0,15.0,3.0,4.0,25.0,0.0,0.0,8.0,13.0,8.0,19.0,6.0,4.0,18.0,23.0,26.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,33.0,4.0,54.0,47.0,33.0,44.0,26.0,29.0,38.0,0.0,3.0,52.0,39.0,9.0,44.0,0.0,61.0,23.0,54.0,86.0,0.0,2.0,56.0,0.0,7.0,94.0,74.0,142.0,96.0,13.0,55.0,0.0,0.0,0.0,5.0,9.0,23.0,18.0,8.0,17.0,0.0,23.0,0.0,0.0,5.0,16.0,0.0,8.0,14.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,4.0,8.0,14.0,0.0,40.0,0.0,0.0,30.0,11.0,,,,,,,,,,,,,,,
47,45.0,13.0,14.0,26.0,9.0,25.0,10.0,29.0,18.0,7.0,21.0,20.0,21.0,38.0,18.0,17.0,7.0,22.0,43.0,159.0,20.0,0.0,0.0,0.0,4.0,0.0,169.0,0.0,199.0,38.0,198.0,84.0,70.0,78.0,78.0,3.0,93.0,78.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,11.0,0.0,10.0,0.0,39.0,25.0,97.0,28.0,0.0,0.0,35.0,52.0,0.0,5.0,31.0,12.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,14.0,7.0,26.0,20.0,12.0,12.0,91.0,20.0,11.0,0.0,65.0,55.0,12.0,0.0,0.0,0.0,30.0,0.0,4.0,16.0,0.0,2.0,0.0,20.0,283.0,20.0,0.0,0.0,28.0,35.0,0.0,125.0,56.0,329.0,68.0,0.0,251.0,43.0,24.0,0.0,27.0,205.0,37.0,28.0,0.0,0.0,32.0,0.0,0.0,6.0,24.0,0.0,23.0,0.0,0.0,22.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
50,29.0,23.0,10.0,18.0,0.0,4.0,41.0,25.0,0.0,28.0,40.0,9.0,42.0,16.0,19.0,29.0,30.0,42.0,13.0,0.0,22.0,26.0,7.0,0.0,8.0,48.0,0.0,16.0,9.0,48.0,43.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,8.0,8.0,0.0,13.0,20.0,27.0,16.0,4.0,16.0,6.0,9.0,3.0,0.0,0.0,48.0,34.0,4.0,4.0,8.0,12.0,1.0,23.0,10.0,0.0,5.0,0.0,12.0,4.0,17.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5.0,0.0,27.0,1.0,27.0,65.0,15.0,7.0,7.0,0.0,21.0,18.0,19.0,5.0,25.0,4.0,102.0,33.0,25.0,29.0,0.0,0.0,64.0,79.0,36.0,57.0,39.0,0.0,19.0,24.0,236.0,29.0,0.0,61.0,12.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20.0,52.0,51.0,7.0,10.0,7.0,10.0,7.0,36.0,0.0,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,17.0,0.0,4.0,21.0,8.0,6.0,11.0,49.0,19.0,4.0,3.0,37.0,0.0,4.0,3.0,0.0,50.0,44.0,0.0,13.0,0.0,44.0,30.0,8.0,14.0,27.0,114.0,0.0,0.0,39.0,5.0,37.0,8.0,8.0,8.0,0.0,18.0,30.0,0.0,0.0,19.0,17.0,56.0,13.0,32.0,0.0,84.0,134.0,10.0,0.0,17.0,101.0,31.0,0.0,66.0,2.0,267.0,48.0,58.0,1.0,47.0,134.0,36.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,266.0,0.0,,,,
55,17.0,0.0,58.0,9.0,13.0,19.0,5.0,6.0,0.0,0.0,0.0,17.0,4.0,60.0,20.0,64.0,33.0,0.0,9.0,0.0,19.0,32.0,6.0,36.0,4.0,13.0,26.0,343.0,36.0,13.0,55.0,3.0,10.0,174.0,13.0,7.0,19.0,31.0,44.0,8.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,9.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,58.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,,,,,,
56,5.0,37.0,23.0,19.0,19.0,16.0,4.0,12.0,36.0,21.0,0.0,0.0,25.0,0.0,14.0,0.0,0.0,18.0,22.0,0.0,85.0,9.0,73.0,2.0,0.0,76.0,61.0,0.0,38.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5.0,0.0,32.0,23.0,36.0,0.0,5.0,20.0,0.0,7.0,12.0,35.0,17.0,20.0,2.0,16.0,7.0,11.0,52.0,37.0,13.0,26.0,0.0,0.0,0.0,1.0,12.0,0.0,33.0,3.0,1.0,0.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,26.0,14.0,0.0,0.0,35.0,2.0,0.0,20.0,0.0,41.0,10.0,26.0,21.0,2.0,0.0,2.0,8.0,25.0,0.0,0.0,7.0,7.0,2.0,2.0,23.0,0.0,11.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,28.0,7.0,11.0,11.0,0.0,0.0,13.0,31.0,0.0,27.0,24.0,31.0,6.0,12.0,25.0,10.0,35.0,46.0,3.0,14.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,14.0,8.0,10.0,19.0,25.0,6.0,21.0,33.0,0.0,2.0,0.0,0.0,15.0,1.0,68.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0,9.0,19.0,44.0,69.0,0.0,30.0,0.0,0.0,1.0,19.0,37.0,30.0,8.0,32.0,20.0,0.0,6.0,20.0,74.0,20.0,3.0,8.0,27.0,25.0,6.0,18.0,0.0,0.0,32.0,40.0,47.0,29.0,52.0,48.0,17.0,12.0,0.0,15.0,53.0,34.0,26.0,85.0,14.0,55.0,39.0,61.0,14.0,0.0,17.0,44.0,19.0,0.0,0.0,0.0,27.0,0.0,0.0,25.0,0.0,9.0,0.0,24.0,14.0,258.0,134.0,0.0,89.0,176.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,185.0,0.0,0.0
62,0.0,39.0,3.0,12.0,34.0,5.0,0.0,40.0,9.0,17.0,3.0,0.0,13.0,0.0,0.0,9.0,32.0,39.0,23.0,0.0,17.0,52.0,6.0,16.0,20.0,0.0,35.0,0.0,0.0,80.0,21.0,38.0,153.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,54.0,27.0,21.0,16.0,25.0,41.0,3.0,23.0,2.0,0.0,11.0,39.0,0.0,118.0,9.0,78.0,0.0,84.0,0.0,77.0,38.0,15.0,0.0,32.0,5.0,10.0,100.0,16.0,36.0,140.0,9.0,2.0,54.0,20.0,5.0,37.0,9.0,102.0,408.0,284.0,0.0,0.0,0.0,0.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.0,0.0,0.0,9.0,0.0,33.0,110.0,39.0,49.0,36.0,35.0,24.0,52.0,17.0,0.0,26.0,31.0,45.0,23.0,4.0,34.0,7.0,0.0,0.0,59.0,35.0,43.0,0.0,104.0,29.0,121.0,0.0,25.0,27.0,0.0,15.0,86.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,27.0,5.0,16.0,6.0,2.0,19.0,0.0,23.0,0.0,25.0,3.0,34.0,4.0,14.0,0.0,27.0,0.0,76.0,21.0,1.0,17.0,15.0,10.0,62.0,42.0,7.0,14.0,11.0,0.0,0.0,10.0,14.0,0.0,3.0,0.0,0.0,6.0,0.0,15.0,0.0,8.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0,7.0,0.0,34.0,15.0,0.0,34.0,0.0,6.0,0.0,8.0,9.0,6.0,8.0,37.0,1.0,0.0,5.0,12.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,15.0,17.0,38.0,14.0,23.0,27.0,14.0,14.0,41.0,0.0,34.0,3.0,16.0,0.0,55.0,8.0,37.0,0.0,6.0,12.0,33.0,12.0,61.0,13.0,13.0,1.0,34.0,8.0,0.0,37.0,4.0,4.0,91.0,0.0,152.0,0.0,12.0,28.0,3.0,67.0,0.0,0.0,0.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
