,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
32,15.0,0.0,12.0,4.0,3.0,40.0,10.0,10.0,0.0,42.0,12.0,81.0,49.0,23.0,0.0,8.0,14.0,22.0,25.0,16.0,147.0,77.0,198.0,53.0,0.0,44.0,183.0,62.0,78.0,102.0,7.0,7.0,0.0,299.0,31.0,35.0,0.0,1.0,4.0,78.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15.0,4.0,0.0,6.0,0.0,0.0,22.0,70.0,7.0,36.0,14.0,10.0,8.0,9.0,42.0,36.0,26.0,10.0,89.0,56.0,33.0,30.0,74.0,45.0,182.0,2.0,11.0,13.0,32.0,24.0,0.0,0.0,82.0,20.0,9.0,38.0,0.0,6.0,0.0,0.0,13.0,0.0,11.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,30.0,196.0,26.0,0.0,0.0,0.0,331.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,
34,40.0,0.0,0.0,17.0,9.0,13.0,34.0,15.0,3.0,25.0,41.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,8.0,12.0,40.0,14.0,18.0,21.0,26.0,16.0,26.0,20.0,19.0,26.0,25.0,25.0,5.0,38.0,31.0,27.0,0.0,73.0,38.0,44.0,58.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,2.0,0.0,0.0,10.0,0.0,26.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,37.0,253.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.0,14.0,6.0,0.0,25.0,21.0,0.0,15.0,12.0,22.0,61.0,0.0,5.0,162.0,22.0,39.0,103.0,25.0,193.0,360.0,152.0,0.0,0.0,126.0,48.0,8.0,94.0,0.0,0.0,0.0,74.0,0.0,49.0,0.0,43.0,50.0,0.0,21.0,64.0,0.0,27.0,9.0,163.0,16.0,149.0,201.0,0.0,185.0,11.0,198.0,18.0,50.0,110.0,13.0,6.0,149.0,78.0,24.0,108.0,13.0,468.0,50.0,26.0,26.0,11.0,191.0,32.0,406.0,90.0,5.0,0.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,
37,52.0,28.0,24.0,21.0,0.0,3.0,35.0,64.0,88.0,11.0,71.0,37.0,0.0,11.0,0.0,28.0,55.0,6.0,29.0,15.0,8.0,12.0,16.0,26.0,16.0,36.0,6.0,3.0,93.0,31.0,63.0,10.0,0.0,21.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,70.0,19.0,25.0,0.0,63.0,157.0,25.0,0.0,58.0,9.0,0.0,16.0,18.0,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,31.0,31.0,16.0,14.0,15.0,3.0,0.0,21.0,0.0,9.0,24.0,33.0,2.0,17.0,17.0,20.0,3.0,25.0,16.0,9.0,34.0,23.0,5.0,19.0,60.0,4.0,63.0,38.0,55.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,24.0,8.0,8.0,25.0,17.0,0.0,80.0,29.0,0.0,0.0,13.0,10.0,22.0,29.0,0.0,38.0,6.0,128.0,1.0,27.0,38.0,41.0,44.0,58.0,183.0,19.0,1.0,72.0,19.0,9.0,206.0,55.0,57.0,92.0,0.0,0.0,0.0,35.0,21.0,34.0,0.0,0.0,35.0,26.0,119.0,3.0,254.0,6.0,77.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8.0,16.0,11.0,16.0,25.0,6.0,18.0,20.0,94.0,68.0,4.0,7.0,0.0,0.0,22.0,10.0,17.0,10.0,18.0,56.0,58.0,103.0,207.0,22.0,118.0,31.0,0.0,93.0,11.0,151.0,28.0,360.0,3.0,10.0,17.0,0.0,79.0,0.0,0.0,93.0,53.0,17.0,0.0,0.0,1.0,9.0,3.0,10.0,17.0,3.0,8.0,2.0,8.0,10.0,5.0,9.0,4.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,22.0,12.0,15.0,35.0,10.0,0.0,5.0,32.0,6.0,39.0,11.0,24.0,4.0,13.0,2.0,6.0,8.0,39.0,20.0,3.0,2.0,11.0,37.0,10.0,35.0,11.0,0.0,0.0,79.0,324.0,89.0,8.0,0.0,0.0,35.0,18.0,5.0,21.0,66.0,176.0,0.0,3.0,0.0,3.0,11.0,0.0,20.0,0.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
