,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
33,15.0,27.0,13.0,17.0,4.0,0.0,2.0,1.0,10.0,12.0,23.0,19.0,12.0,10.0,21.0,0.0,3.0,3.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,26.0,17.0,7.0,20.0,14.0,8.0,3.0,0.0,21.0,18.0,0.0,35.0,2.0,24.0,0.0,1.0,13.0,9.0,0.0,51.0,0.0,0.0,0.0,0.0,18.0,54.0,9.0,40.0,0.0,0.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,22.0,35.0,19.0,8.0,0.0,2.0,0.0,0.0,5.0,0.0,28.0,39.0,17.0,52.0,17.0,18.0,0.0,6.0,17.0,23.0,39.0,1.0,14.0,2.0,5.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,28.0,37.0,13.0,3.0,47.0,1.0,4.0,30.0,0.0,0.0,18.0,0.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,70.0,22.0,53.0,0.0,44.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,31.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7.0,10.0,4.0,12.0,0.0,16.0,26.0,23.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,18.0,3.0,9.0,0.0,0.0,3.0,12.0,0.0,12.0,0.0,8.0,12.0,9.0,5.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7.0,1.0,0.0,1.0,0.0,16.0,14.0,10.0,46.0,0.0,27.0,15.0,13.0,19.0,35.0,0.0,0.0,28.0,7.0,2.0,0.0,52.0,0.0,16.0,0.0,94.0,57.0,223.0,0.0,206.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,21.0,22.0,18.0,11.0,0.0,2.0,9.0,24.0,7.0,11.0,0.0,0.0,2.0,29.0,4.0,0.0,0.0,2.0,12.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13.0,2.0,8.0,20.0,8.0,10.0,6.0,21.0,15.0,7.0,11.0,77.0,15.0,12.0,49.0,142.0,0.0,66.0,10.0,71.0,71.0,4.0,0.0,34.0,126.0,0.0,9.0,0.0,0.0,31.0,43.0,12.0,67.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,4.0,4.0,10.0,5.0,0.0,0.0,1.0,0.0,50.0,20.0,0.0,9.0,9.0,11.0,2.0,0.0,12.0,0.0,6.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,26.0,19.0,9.0,12.0,12.0,0.0,16.0,12.0,1.0,40.0,3.0,0.0,24.0,38.0,85.0,0.0,1.0,0.0,14.0,1.0,0.0,2.0,10.0,15.0,8.0,14.0,84.0,73.0,27.0,0.0,59.0,19.0,81.0,45.0,0.0,17.0,198.0,139.0,1.0,32.0,0.0,54.0,5.0,0.0,0.0,34.0,32.0,0.0,8.0,45.0,0.0,64.0,44.0,0.0,4.0,22.0,0.0,25.0,10.0,52.0,86.0,0.0,26.0,0.0,2.0,0.0,0.0,59.0,14.0,3.0,0.0,0.0,18.0,6.0,0.0,17.0,0.0,27.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
42,21.0,19.0,28.0,8.0,10.0,16.0,11.0,4.0,0.0,18.0,0.0,20.0,6.0,0.0,0.0,41.0,63.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
