,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
30,27.0,17.0,10.0,10.0,13.0,0.0,2.0,0.0,11.0,61.0,22.0,0.0,0.0,5.0,47.0,0.0,27.0,24.0,13.0,52.0,55.0,36.0,6.0,0.0,45.0,3.0,25.0,67.0,0.0,0.0,17.0,0.0,60.0,8.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,32.0,35.0,25.0,0.0,12.0,47.0,10.0,13.0,0.0,5.0,22.0,3.0,43.0,34.0,25.0,25.0,50.0,8.0,4.0,80.0,30.0,19.0,174.0,183.0,60.0,1.0,0.0,0.0,69.0,32.0,89.0,0.0,124.0,264.0,0.0,0.0,16.0,64.0,58.0,29.0,60.0,45.0,16.0,0.0,0.0,0.0,3.0,46.0,0.0,0.0,13.0,6.0,0.0,36.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,201.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,34.0,0.0,19.0,9.0,2.0,0.0,9.0,3.0,6.0,27.0,0.0,39.0,0.0,5.0,28.0,0.0,10.0,0.0,13.0,0.0,0.0,47.0,3.0,6.0,10.0,46.0,18.0,16.0,90.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11.0,18.0,6.0,0.0,3.0,15.0,19.0,4.0,15.0,1.0,16.0,18.0,0.0,6.0,36.0,86.0,0.0,0.0,142.0,126.0,0.0,27.0,2.0,111.0,0.0,102.0,0.0,8.0,242.0,169.0,42.0,516.0,755.0,13.0,44.0,0.0,153.0,6.0,0.0,62.0,0.0,0.0,168.0,8.0,0.0,37.0,19.0,26.0,97.0,12.0,67.0,29.0,137.0,0.0,77.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,21.0,37.0,2.0,19.0,17.0,33.0,16.0,12.0,1.0,15.0,15.0,0.0,10.0,63.0,0.0,35.0,0.0,0.0,123.0,0.0,4.0,0.0,16.0,5.0,0.0,4.0,21.0,13.0,30.0,0.0,61.0,7.0,9.0,64.0,155.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,47.0,10.0,0.0,39.0,37.0,22.0,2.0,9.0,6.0,3.0,2.0,17.0,25.0,19.0,22.0,0.0,8.0,10.0,6.0,0.0,0.0,5.0,0.0,10.0,89.0,25.0,27.0,87.0,9.0,0.0,39.0,0.0,127.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,14.0,3.0,8.0,7.0,7.0,28.0,1.0,0.0,0.0,15.0,19.0,15.0,41.0,9.0,34.0,64.0,16.0,48.0,11.0,82.0,0.0,1.0,23.0,23.0,12.0,5.0,9.0,0.0,0.0,0.0,2.0,11.0,7.0,3.0,8.0,0.0,2.0,8.0,15.0,0.0,1.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,31.0,34.0,22.0,49.0,30.0,20.0,43.0,51.0,0.0,8.0,12.0,19.0,68.0,18.0,12.0,74.0,21.0,59.0,0.0,54.0,0.0,0.0,62.0,90.0,8.0,7.0,76.0,52.0,6.0,2.0,23.0,0.0,1.0,0.0,139.0,11.0,15.0,0.0,3.0,0.0,305.0,101.0,0.0,0.0,36.0,0.0,4.0,0.0,27.0,74.0,0.0,1.0,143.0,0.0,0.0,79.0,42.0,26.0,10.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,19.0,6.0,35.0,0.0,30.0,41.0,0.0,0.0,10.0,12.0,62.0,53.0,0.0,72.0,5.0,44.0,27.0,66.0,43.0,9.0,128.0,0.0,3.0,93.0,14.0,47.0,101.0,219.0,43.0,34.0,14.0,41.0,38.0,285.0,150.0,42.0,51.0,15.0,130.0,0.0,0.0,0.0,0.0,21.0,47.0,114.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,7.0,44.0,0.0,52.0,0.0,0.0,9.0,25.0,48.0,15.0,11.0,0.0,0.0,32.0,0.0,34.0,0.0,35.0,16.0,18.0,18.0,20.0,0.0,0.0,7.0,0.0,16.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,30.0,6.0,14.0,13.0,7.0,14.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
