,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
41,0.0,6.0,44.0,10.0,25.0,12.0,17.0,21.0,26.0,0.0,10.0,12.0,1.0,19.0,0.0,4.0,7.0,0.0,12.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,54.0,11.0,0.0,13.0,5.0,25.0,10.0,0.0,14.0,0.0,3.0,12.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,34.0,3.0,10.0,10.0,16.0,13.0,28.0,0.0,3.0,0.0,0.0,0.0,30.0,0.0,10.0,11.0,31.0,35.0,7.0,43.0,6.0,66.0,9.0,30.0,19.0,87.0,3.0,311.0,149.0,27.0,36.0,30.0,0.0,45.0,24.0,270.0,0.0,127.0,0.0,0.0,0.0,46.0,28.0,526.0,22.0,482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,26.0,40.0,9.0,18.0,8.0,5.0,0.0,6.0,21.0,62.0,59.0,68.0,0.0,52.0,0.0,10.0,22.0,51.0,0.0,25.0,35.0,3.0,138.0,0.0,13.0,0.0,23.0,72.0,129.0,0.0,2.0,71.0,335.0,66.0,0.0,0.0,45.0,14.0,26.0,0.0,65.0,28.0,7.0,51.0,37.0,25.0,0.0,0.0,0.0,0.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,40.0,0.0,10.0,24.0,25.0,11.0,0.0,23.0,109.0,27.0,117.0,56.0,42.0,43.0,0.0,79.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,26.0,15.0,34.0,35.0,0.0,0.0,0.0,9.0,18.0,17.0,18.0,7.0,42.0,42.0,8.0,32.0,26.0,22.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,17.0,15.0,0.0,0.0,9.0,24.0,0.0,1.0,0.0,11.0,0.0,11.0,31.0,32.0,26.0,0.0,56.0,0.0,0.0,208.0,27.0,185.0,0.0,58.0,239.0,39.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,21.0,17.0,7.0,29.0,9.0,19.0,9.0,3.0,17.0,36.0,0.0,6.0,8.0,6.0,5.0,0.0,29.0,25.0,14.0,37.0,33.0,46.0,69.0,6.0,14.0,10.0,46.0,64.0,248.0,0.0,28.0,50.0,54.0,2.0,0.0,16.0,24.0,14.0,1.0,0.0,0.0,93.0,0.0,332.0,56.0,0.0,10.0,25.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,17.0,3.0,35.0,13.0,18.0,16.0,7.0,18.0,0.0,29.0,5.0,0.0,29.0,0.0,7.0,150.0,6.0,90.0,31.0,0.0,5.0,50.0,128.0,4.0,8.0,66.0,15.0,15.0,42.0,0.0,8.0,154.0,91.0,18.0,202.0,43.0,109.0,0.0,32.0,30.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0,42.0,4.0,2.0,9.0,39.0,3.0,7.0,27.0,0.0,49.0,0.0,0.0,226.0,4.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7.0,22.0,0.0,0.0,52.0,11.0,12.0,27.0,2.0,30.0,56.0,20.0,0.0,2.0,52.0,22.0,0.0,0.0,1.0,0.0,18.0,6.0,35.0,5.0,9.0,5.0,37.0,0.0,69.0,102.0,0.0,105.0,0.0,38.0,0.0,12.0,88.0,89.0,90.0,9.0,5.0,0.0,14.0,16.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
