,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
30,35.0,18.0,5.0,23.0,8.0,19.0,0.0,6.0,0.0,11.0,3.0,24.0,3.0,13.0,5.0,73.0,20.0,20.0,0.0,0.0,0.0,17.0,12.0,0.0,77.0,107.0,0.0,0.0,40.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,9.0,1.0,0.0,6.0,0.0,8.0,39.0,43.0,42.0,83.0,0.0,5.0,24.0,26.0,0.0,11.0,0.0,0.0,0.0,18.0,44.0,0.0,103.0,0.0,190.0,5.0,32.0,0.0,7.0,8.0,119.0,71.0,38.0,0.0,0.0,7.0,13.0,78.0,0.0,87.0,54.0,8.0,113.0,0.0,133.0,112.0,13.0,199.0,57.0,101.0,22.0,270.0,0.0,73.0,85.0,467.0,0.0,63.0,262.0,0.0,0.0,0.0,59.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,18.0,24.0,2.0,59.0,19.0,8.0,41.0,9.0,32.0,15.0,5.0,37.0,124.0,0.0,150.0,51.0,15.0,72.0,32.0,14.0,102.0,40.0,16.0,0.0,12.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,134.0,0.0,26.0,6.0,1.0,5.0,21.0,1.0,0.0,2.0,0.0,6.0,0.0,9.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,19.0,43.0,9.0,0.0,0.0,33.0,30.0,0.0,24.0,0.0,0.0,5.0,0.0,48.0,10.0,42.0,0.0,0.0,36.0,8.0,5.0,10.0,11.0,0.0,0.0,0.0,13.0,6.0,86.0,0.0,33.0,0.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,23.0,34.0,20.0,7.0,3.0,10.0,0.0,0.0,12.0,61.0,28.0,70.0,31.0,28.0,0.0,0.0,44.0,0.0,61.0,0.0,39.0,19.0,25.0,3.0,0.0,0.0,34.0,47.0,0.0,0.0,68.0,213.0,116.0,245.0,53.0,20.0,35.0,21.0,257.0,0.0,47.0,20.0,24.0,13.0,14.0,15.0,18.0,28.0,29.0,0.0,6.0,10.0,140.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,11.0,2.0,37.0,28.0,24.0,3.0,11.0,13.0,14.0,16.0,18.0,8.0,25.0,2.0,1.0,17.0,0.0,0.0,2.0,4.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,22.0,16.0,0.0,15.0,64.0,4.0,0.0,0.0,5.0,61.0,40.0,18.0,69.0,80.0,47.0,18.0,63.0,33.0,18.0,17.0,11.0,30.0,19.0,85.0,0.0,33.0,34.0,110.0,110.0,67.0,40.0,0.0,150.0,51.0,48.0,58.0,0.0,51.0,181.0,82.0,47.0,0.0,53.0,74.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20.0,23.0,13.0,28.0,42.0,13.0,6.0,2.0,14.0,31.0,33.0,39.0,0.0,7.0,11.0,0.0,50.0,0.0,0.0,19.0,93.0,65.0,35.0,34.0,47.0,27.0,81.0,0.0,0.0,504.0,242.0,84.0,2.0,45.0,10.0,43.0,49.0,9.0,0.0,0.0,69.0,56.0,0.0,0.0,0.0,0.0,40.0,0.0,2.0,25.0,21.0,42.0,127.0,24.0,3.0,121.0,0.0,12.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,21.0,14.0,18.0,8.0,44.0,0.0,21.0,0.0,1.0,7.0,0.0,0.0,21.0,0.0,8.0,0.0,5.0,5.0,0.0,7.0,0.0,1.0,0.0,8.0,19.0,71.0,0.0,0.0,159.0,110.0,19.0,20.0,40.0,12.0,10.0,43.0,19.0,17.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,17.0,15.0,22.0,6.0,27.0,22.0,43.0,5.0,0.0,12.0,70.0,79.0,63.0,0.0,0.0,96.0,0.0,0.0,100.0,10.0,0.0,4.0,23.0,0.0,63.0,61.0,9.0,13.0,22.0,0.0,26.0,24.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,15.0,7.0,0.0,37.0,97.0,20.0,26.0,127.0,16.0,165.0,0.0,259.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
