,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
30,3.0,13.0,23.0,4.0,0.0,12.0,22.0,12.0,24.0,16.0,24.0,16.0,291.0,20.0,460.0,25.0,5.0,0.0,0.0,9.0,20.0,138.0,6.0,0.0,0.0,0.0,27.0,21.0,7.0,0.0,50.0,25.0,0.0,22.0,102.0,44.0,62.0,2.0,141.0,159.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,38.0,9.0,17.0,0.0,10.0,19.0,5.0,4.0,52.0,7.0,30.0,0.0,48.0,26.0,18.0,10.0,22.0,28.0,16.0,13.0,66.0,42.0,13.0,6.0,17.0,67.0,3.0,23.0,13.0,42.0,61.0,0.0,678.0,2.0,114.0,49.0,162.0,44.0,65.0,190.0,48.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21.0,26.0,0.0,1.0,3.0,0.0,22.0,24.0,10.0,0.0,12.0,14.0,0.0,0.0,28.0,0.0,33.0,4.0,18.0,0.0,0.0,2.0,0.0,8.0,5.0,0.0,0.0,0.0,57.0,39.0,27.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,12.0,45.0,9.0,12.0,0.0,17.0,10.0,31.0,0.0,0.0,0.0,0.0,35.0,18.0,5.0,129.0,80.0,0.0,25.0,1.0,90.0,0.0,25.0,23.0,9.0,13.0,7.0,0.0,6.0,0.0,0.0,4.0,10.0,2.0,4.0,0.0,0.0,0.0,83.0,18.0,0.0,10.0,29.0,9.0,21.0,8.0,6.0,0.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,21.0,28.0,15.0,0.0,7.0,4.0,24.0,74.0,23.0,1.0,17.0,0.0,79.0,14.0,66.0,26.0,36.0,65.0,108.0,30.0,24.0,144.0,63.0,158.0,0.0,11.0,235.0,22.0,0.0,56.0,0.0,37.0,3.0,2.0,0.0,1.0,31.0,21.0,0.0,26.0,18.0,18.0,34.0,41.0,0.0,43.0,0.0,12.0,18.0,16.0,37.0,24.0,6.0,74.0,82.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,27.0,25.0,0.0,0.0,0.0,12.0,17.0,3.0,0.0,24.0,0.0,26.0,4.0,11.0,3.0,0.0,159.0,0.0,28.0,0.0,22.0,0.0,19.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,31.0,19.0,19.0,11.0,0.0,13.0,0.0,24.0,18.0,0.0,5.0,16.0,35.0,2.0,14.0,0.0,8.0,62.0,25.0,18.0,50.0,1.0,18.0,1.0,48.0,17.0,37.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,14.0,29.0,152.0,0.0,21.0,33.0,206.0,17.0,79.0,0.0,17.0,48.0,18.0,10.0,64.0,34.0,9.0,27.0,0.0,9.0,0.0,6.0,42.0,20.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,30.0,44.0,23.0,15.0,0.0,36.0,0.0,15.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,34.0,2.0,78.0,69.0,44.0,8.0,0.0,43.0,65.0,33.0,0.0,69.0,17.0,10.0,0.0,0.0,0.0,23.0,19.0,0.0,8.0,0.0,21.0,0.0,0.0,0.0,225.0,0.0,211.0,246.0,5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5.0,5.0,0.0,28.0,3.0,7.0,18.0,2.0,9.0,0.0,0.0,60.0,235.0,25.0,29.0,0.0,0.0,66.0,64.0,57.0,2.0,9.0,0.0,0.0,177.0,31.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5.0,30.0,25.0,12.0,38.0,55.0,8.0,0.0,6.0,36.0,23.0,25.0,44.0,113.0,4.0,2.0,0.0,15.0,68.0,40.0,24.0,0.0,27.0,0.0,103.0,38.0,247.0,0.0,31.0,30.0,0.0,11.0,24.0,0.0,55.0,0.0,14.0,130.0,0.0,47.0,351.0,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
