,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
33,13.0,22.0,20.0,33.0,39.0,23.0,17.0,2.0,0.0,20.0,19.0,5.0,29.0,72.0,9.0,0.0,6.0,7.0,10.0,17.0,5.0,13.0,88.0,18.0,0.0,44.0,32.0,0.0,0.0,293.0,113.0,34.0,0.0,0.0,16.0,11.0,0.0,0.0,67.0,13.0,95.0,0.0,71.0,34.0,41.0,47.0,0.0,11.0,25.0,37.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,10.0,26.0,9.0,46.0,0.0,30.0,28.0,24.0,6.0,15.0,9.0,17.0,5.0,3.0,14.0,17.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,23.0,3.0,61.0,0.0,0.0,8.0,17.0,8.0,5.0,14.0,1.0,24.0,0.0,78.0,0.0,1.0,72.0,0.0,12.0,12.0,125.0,12.0,80.0,20.0,0.0,0.0,0.0,12.0,0.0,32.0,0.0,11.0,18.0,25.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10.0,19.0,30.0,26.0,32.0,18.0,36.0,15.0,13.0,69.0,40.0,47.0,14.0,27.0,39.0,17.0,10.0,0.0,37.0,3.0,0.0,40.0,146.0,0.0,50.0,0.0,403.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,14.0,14.0,45.0,0.0,18.0,31.0,7.0,0.0,35.0,36.0,33.0,50.0,87.0,0.0,60.0,17.0,13.0,27.0,36.0,22.0,51.0,7.0,147.0,0.0,6.0,59.0,30.0,20.0,28.0,26.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,29.0,25.0,22.0,4.0,1.0,10.0,25.0,14.0,33.0,0.0,33.0,22.0,9.0,14.0,0.0,39.0,34.0,28.0,22.0,42.0,39.0,0.0,0.0,0.0,17.0,0.0,16.0,29.0,16.0,6.0,0.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,36.0,31.0,54.0,26.0,5.0,0.0,6.0,28.0,40.0,0.0,25.0,13.0,25.0,0.0,52.0,27.0,16.0,3.0,9.0,0.0,80.0,22.0,0.0,54.0,12.0,35.0,0.0,0.0,0.0,0.0,9.0,30.0,0.0,170.0,0.0,0.0,22.0,25.0,19.0,19.0,26.0,87.0,64.0,12.0,0.0,0.0,172.0,12.0,8.0,1.0,11.0,0.0,131.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13.0,11.0,7.0,4.0,12.0,18.0,3.0,0.0,9.0,28.0,34.0,61.0,18.0,0.0,53.0,0.0,46.0,6.0,0.0,66.0,28.0,55.0,18.0,13.0,31.0,201.0,65.0,52.0,13.0,43.0,4.0,108.0,8.0,63.0,0.0,19.0,168.0,10.0,19.0,13.0,61.0,198.0,39.0,18.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,8.0,15.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
41,2.0,10.0,40.0,17.0,21.0,9.0,19.0,96.0,0.0,6.0,72.0,50.0,25.0,9.0,9.0,15.0,47.0,94.0,21.0,15.0,8.0,37.0,43.0,3.0,39.0,26.0,60.0,123.0,67.0,62.0,0.0,7.0,177.0,2.0,206.0,15.0,49.0,0.0,92.0,30.0,27.0,10.0,51.0,1.0,0.0,10.0,4.0,3.0,0.0,0.0,26.0,0.0,39.0,64.0,0.0,26.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,23.0,0.0,5.0,0.0,29.0,0.0,41.0,12.0,18.0,4.0,66.0,47.0,0.0,10.0,26.0,41.0,20.0,23.0,0.0,0.0,0.0,36.0,0.0,151.0,55.0,0.0,0.0,36.0,0.0,84.0,3.0,36.0,117.0,0.0,267.0,49.0,2.0,56.0,27.0,0.0,1.0,63.0,0.0,67.0,0.0,0.0,0.0,31.0,129.0,18.0,3.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
