,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
37,12.0,22.0,6.0,0.0,17.0,0.0,3.0,2.0,11.0,36.0,0.0,24.0,48.0,0.0,0.0,0.0,0.0,151.0,0.0,10.0,5.0,0.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,35.0,0.0,14.0,9.0,13.0,7.0,1.0,15.0,10.0,82.0,39.0,75.0,72.0,16.0,56.0,37.0,18.0,24.0,0.0,11.0,30.0,0.0,0.0,10.0,0.0,48.0,0.0,18.0,0.0,2.0,143.0,181.0,0.0,33.0,9.0,43.0,28.0,0.0,0.0,81.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,51.0,25.0,0.0,0.0,21.0,23.0,45.0,52.0,32.0,6.0,0.0,40.0,0.0,88.0,16.0,7.0,9.0,0.0,17.0,27.0,39.0,64.0,13.0,7.0,0.0,36.0,69.0,6.0,20.0,6.0,31.0,4.0,37.0,1.0,0.0,61.0,601.0,0.0,16.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,3.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5.0,22.0,2.0,9.0,29.0,11.0,14.0,8.0,0.0,37.0,34.0,21.0,9.0,0.0,66.0,50.0,25.0,1.0,16.0,67.0,52.0,11.0,33.0,14.0,31.0,146.0,22.0,29.0,19.0,0.0,37.0,50.0,33.0,0.0,31.0,123.0,168.0,0.0,0.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10.0,0.0,0.0,5.0,35.0,12.0,33.0,40.0,1.0,0.0,29.0,78.0,0.0,26.0,19.0,31.0,17.0,33.0,0.0,59.0,15.0,10.0,0.0,0.0,0.0,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10.0,0.0,29.0,13.0,0.0,0.0,0.0,2.0,7.0,7.0,21.0,0.0,31.0,35.0,33.0,7.0,14.0,0.0,7.0,22.0,0.0,0.0,25.0,0.0,0.0,12.0,69.0,0.0,30.0,14.0,0.0,0.0,123.0,60.0,23.0,5.0,2.0,4.0,5.0,23.0,93.0,17.0,12.0,29.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,0.0,216.0,0.0,2.0,14.0,0.0,27.0,0.0,0.0,0.0,65.0,3.0,0.0,8.0,176.0,31.0,123.0,6.0,147.0,3.0,35.0,114.0,31.0,1.0,2.0,25.0,0.0,267.0,108.0,0.0,0.0,0.0
43,8.0,35.0,27.0,67.0,39.0,9.0,11.0,23.0,39.0,43.0,17.0,0.0,53.0,20.0,14.0,22.0,3.0,0.0,3.0,25.0,8.0,15.0,28.0,4.0,51.0,28.0,24.0,2.0,33.0,44.0,147.0,62.0,11.0,17.0,183.0,23.0,105.0,0.0,0.0,3.0,13.0,0.0,27.0,5.0,13.0,19.0,0.0,21.0,0.0,15.0,0.0,21.0,1.0,0.0,76.0,0.0,34.0,24.0,26.0,2.0,152.0,9.0,31.0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
44,15.0,48.0,12.0,16.0,0.0,3.0,0.0,10.0,6.0,13.0,6.0,0.0,11.0,57.0,33.0,11.0,28.0,38.0,130.0,36.0,51.0,138.0,62.0,89.0,37.0,15.0,63.0,0.0,86.0,33.0,1.0,11.0,0.0,12.0,34.0,16.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,13.0,15.0,18.0,15.0,0.0,9.0,27.0,11.0,3.0,16.0,4.0,0.0,11.0,0.0,0.0,36.0,23.0,58.0,19.0,15.0,0.0,41.0,40.0,20.0,41.0,83.0,10.0,0.0,20.0,0.0,13.0,511.0,21.0,14.0,13.0,3.0,1.0,23.0,77.0,12.0,95.0,79.0,2.0,54.0,35.0,17.0,153.0,0.0,75.0,165.0,245.0,0.0,0.0,1224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,45.0,4.0,0.0,0.0,29.0,0.0,74.0,0.0,20.0,33.0,20.0,21.0,40.0,0.0,0.0,13.0,2.0,71.0,94.0,29.0,0.0,21.0,13.0,29.0,23.0,0.0,25.0,1.0,62.0,0.0,28.0,0.0,0.0,0.0,69.0,8.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
